日期,識別碼,植物編號,植物名稱,形相代號,節氣,候別,葉子分數,花的分數,果實分數
2022/03/27,1,0,緬梔,1,春分,第2候,2.5,1,1
2022/03/27,2,1,小梗木薑子,1,春分,第2候,2.5,1,1
2022/03/27,3,2,相思樹,1,春分,第2候,3,1,1
2022/03/27,4,3,降真香,1,春分,第2候,3,1,2
2022/03/27,5,4,球花嘉賜木,1,春分,第2候,0.5,1,3
2022/03/27,6,5,血桐,1,春分,第2候,3,2,1
2022/03/27,7,6,灰木,2,春分,第2候,2,2,1
2022/03/27,8,7,狗骨仔,1,春分,第2候,2.5,1,1
2022/03/27,9,8,狗骨仔,2,春分,第2候,2.5,2,2
2022/03/27,10,9,紅脈赤楠,1,春分,第2候,2.5,2,1
2022/03/27,11,10,台灣山桂花,2,春分,第2候,2.5,1,3
2022/03/27,12,11,細葉饅頭果,1,春分,第2候,2.5,2,1
2022/03/27,13,12,球花嘉賜木,1,春分,第2候,2.5,1,1
2022/03/27,14,13,相思樹,1,春分,第2候,2.5,1,1
2022/03/27,15,14,血桐,1,春分,第2候,2.5,3,1
2022/03/27,17,15,萬桃花,1,春分,第2候,2.5,2,3
2022/03/27,18,16,山油麻,1,春分,第2候,2.5,2,1
2022/03/27,19,17,構樹,1,春分,第2候,2,3,1
2022/03/27,20,18,白毛臭牡丹,2,春分,第2候,2.5,2,1
2022/03/27,21,19,白匏子,1,春分,第2候,2.5,1,1
2022/03/27,23,20,白匏子,1,春分,第2候,2.5,1,1
2022/03/27,24,21,苦楝,1,春分,第2候,2,3,1
2022/03/27,26,22,狗骨仔,2,春分,第2候,2.5,3,1
2022/03/27,27,23,降真香,1,春分,第2候,2.5,1,2
2022/03/27,28,24,小錦蘭,3,春分,第2候,2.5,3,1
2022/03/27,29,25,雙面刺,3,春分,第2候,2.5,3,1
2022/03/27,31,26,大青,2,春分,第2候,2,1,1
2022/03/27,33,27,球花嘉賜木,1,春分,第2候,3,1,1
2022/03/27,34,28,球花嘉賜木,1,春分,第2候,2.5,1,3
2022/03/27,35,29,台灣野茉莉,2,春分,第2候,2,3,1
2022/03/27,36,30,對面花,2,春分,第2候,2,2,1
2022/03/27,37,31,狗花椒,1,春分,第2候,3,1,1
2022/03/27,38,32,毛瓣蝴蝶木,2,春分,第2候,2.5,1,1
2022/04/02,1,0,緬梔,1,春分,第3候,2.5,1,1
2022/04/02,2,1,小梗木薑子,1,春分,第3候,2.5,1,1
2022/04/02,3,2,相思樹,1,春分,第3候,2.5,1,1
2022/04/02,4,3,降真香,1,春分,第3候,2.5,2,2
2022/04/02,5,4,球花嘉賜木,1,春分,第3候,3,1,2
2022/04/02,6,5,血桐,1,春分,第3候,2.5,2,1
2022/04/02,7,6,灰木,2,春分,第3候,2,3,1
2022/04/02,8,7,狗骨仔,1,春分,第3候,2.5,1,1
2022/04/02,9,8,狗骨仔,2,春分,第3候,2.5,2,2
2022/04/02,10,9,紅脈赤楠,1,春分,第3候,2.5,2,1
2022/04/02,11,10,台灣山桂花,2,春分,第3候,2.5,1,3
2022/04/02,12,11,細葉饅頭果,1,春分,第3候,2.5,2,1
2022/04/02,13,12,球花嘉賜木,1,春分,第3候,2.5,2,1
2022/04/02,14,13,相思樹,1,春分,第3候,2.5,1,1
2022/04/02,15,14,血桐,1,春分,第3候,2.5,3,1
2022/04/02,17,15,萬桃花,1,春分,第3候,2.5,2,3
2022/04/02,18,16,山油麻,1,春分,第3候,2.5,2,1
2022/04/02,19,17,構樹,1,春分,第3候,2,3,1
2022/04/02,20,18,白毛臭牡丹,2,春分,第3候,2.5,2,1
2022/04/02,21,19,白匏子,1,春分,第3候,2.5,1,1
2022/04/02,23,20,白匏子,1,春分,第3候,2.5,1,1
2022/04/02,24,21,苦楝,1,春分,第3候,2.5,3,1
2022/04/02,27,23,降真香,1,春分,第3候,2.5,1,2
2022/04/02,28,24,小錦蘭,3,春分,第3候,2.5,3,1
2022/04/02,29,25,雙面刺,3,春分,第3候,2.5,3,1
2022/04/02,31,26,大青,2,春分,第3候,2.5,1,1
2022/04/02,33,27,球花嘉賜木,1,春分,第3候,3,1,1
2022/04/02,34,28,球花嘉賜木,1,春分,第3候,3,1,3
2022/04/02,35,29,台灣野茉莉,2,春分,第3候,2.5,3,1
2022/04/02,36,30,對面花,2,春分,第3候,2.5,2,1
2022/04/02,37,31,狗花椒,1,春分,第3候,2.5,1,1
2022/04/02,38,32,毛瓣蝴蝶木,2,春分,第3候,2.5,1,1
2022/04/10,1,0,緬梔,1,清明,第2候,2.5,1,1
2022/04/10,2,1,小梗木薑子,1,清明,第2候,2.5,1,1
2022/04/10,3,2,相思樹,1,清明,第2候,2.5,1,1
2022/04/10,4,3,降真香,1,清明,第2候,2.5,1,2
2022/04/10,5,4,球花嘉賜木,1,清明,第2候,0.5,1,2
2022/04/10,6,5,血桐,1,清明,第2候,3,3,1
2022/04/10,7,6,灰木,2,清明,第2候,2.5,3,1
2022/04/10,8,7,狗骨仔,1,清明,第2候,2.5,1,1
2022/04/10,9,8,狗骨仔,2,清明,第2候,2.5,2,2
2022/04/10,10,9,紅脈赤楠,1,清明,第2候,2.5,2,1
2022/04/10,11,10,台灣山桂花,2,清明,第2候,2.5,1,3
2022/04/10,12,11,細葉饅頭果,1,清明,第2候,2.5,2,2
2022/04/10,13,12,球花嘉賜木,1,清明,第2候,2.5,1,1
2022/04/10,14,13,相思樹,1,清明,第2候,2.5,1,1
2022/04/10,15,14,血桐,1,清明,第2候,2.5,3,1
2022/04/10,17,15,萬桃花,1,清明,第2候,2.5,3,3
2022/04/10,18,16,山油麻,1,清明,第2候,2.5,3,1
2022/04/10,19,17,構樹,1,清明,第2候,2.5,3,1
2022/04/10,20,18,白毛臭牡丹,2,清明,第2候,2.5,3,1
2022/04/10,21,19,白匏子,1,清明,第2候,2.5,1,1
2022/04/10,23,20,白匏子,1,清明,第2候,2.5,1,1
2022/04/10,24,21,苦楝,1,清明,第2候,2.5,1,1
2022/04/10,26,22,狗骨仔,2,清明,第2候,2.5,2,1
2022/04/10,27,23,降真香,1,清明,第2候,2.5,1,2
2022/04/10,28,24,小錦蘭,3,清明,第2候,2.5,1,1
2022/04/10,29,25,雙面刺,3,清明,第2候,2.5,3,3
2022/04/10,31,26,大青,2,清明,第2候,2.5,1,1
2022/04/10,33,27,球花嘉賜木,1,清明,第2候,2.5,1,1
2022/04/10,34,28,球花嘉賜木,1,清明,第2候,2.5,1,3
2022/04/10,35,29,台灣野茉莉,2,清明,第2候,2.5,2,3
2022/04/10,36,30,對面花,2,清明,第2候,2.5,2,1
2022/04/10,37,31,狗花椒,1,清明,第2候,2.5,1,1
2022/04/10,38,32,毛瓣蝴蝶木,2,清明,第2候,2.5,1,1
2022/04/17,1,0,緬梔,1,清明,第3候,2.5,1,1
2022/04/17,2,1,小梗木薑子,1,清明,第3候,2.5,1,1
2022/04/17,3,2,相思樹,1,清明,第3候,2.5,1,1
2022/04/17,4,3,降真香,1,清明,第3候,2.5,2,2
2022/04/17,5,4,球花嘉賜木,1,清明,第3候,0.5,1,1
2022/04/17,6,5,血桐,1,清明,第3候,2.5,3,1
2022/04/17,7,6,灰木,2,清明,第3候,2.5,2,1
2022/04/17,8,7,狗骨仔,1,清明,第3候,2.5,1,1
2022/04/17,9,8,狗骨仔,2,清明,第3候,2.5,2,2
2022/04/17,10,9,紅脈赤楠,1,清明,第3候,2.5,3,1
2022/04/17,11,10,台灣山桂花,2,清明,第3候,2.5,1,3
2022/04/17,12,11,細葉饅頭果,1,清明,第3候,2.5,2,1
2022/04/17,13,12,球花嘉賜木,1,清明,第3候,2.5,1,1
2022/04/17,14,13,相思樹,1,清明,第3候,2.5,1,1
2022/04/17,15,14,血桐,1,清明,第3候,2.5,3,1
2022/04/17,17,15,萬桃花,1,清明,第3候,2.5,3,3
2022/04/17,18,16,山油麻,1,清明,第3候,2.5,3,1
2022/04/17,19,17,構樹,1,清明,第3候,2.5,3,1
2022/04/17,20,18,白毛臭牡丹,2,清明,第3候,2.5,3,1
2022/04/17,21,19,白匏子,1,清明,第3候,2.5,1,1
2022/04/17,23,20,白匏子,1,清明,第3候,2.5,1,1
2022/04/17,24,21,苦楝,1,清明,第3候,2.5,1,1
2022/04/17,26,22,狗骨仔,2,清明,第3候,2.5,1,1
2022/04/17,27,23,降真香,1,清明,第3候,2.5,1,2
2022/04/17,28,24,小錦蘭,3,清明,第3候,2.5,1,1
2022/04/17,29,25,雙面刺,3,清明,第3候,2.5,1,3
2022/04/17,31,26,大青,2,清明,第3候,2.5,1,1
2022/04/17,33,27,球花嘉賜木,1,清明,第3候,2.5,1,1
2022/04/17,34,28,球花嘉賜木,1,清明,第3候,2.5,1,2
2022/04/17,35,29,台灣野茉莉,2,清明,第3候,2.5,1,3
